Aggrostella		Amfira		Alola-Knogga		Aerodactyl		Absol
Boreos (Tiergeistform)		Anego		Aquana		Aeropteryx		Alola-Digdri
Demeteros (Tiergeistform)		Azumarill		Aranestro		Alola-Raichu		Alola-Kokowei
Durengard		Barrikadax		Arkani		Amigento (mit Disc)		Alola-Sandamer
Galar-Zapdos		Bisaflor		Austos		Amigento (ohne Disc)		Alola-Snobilikat
Zapdos		Brutalanda		Barrakiefa		Amoroso		Alpollo
Gortrom		Demeteros		Boreos		Apoquallyp		Altaria
Heatran		Despotar		Branawarz		Arktos		Amagarga
Jirachi		Dragoran		Brockoloss		Baldorfish		Arktilas
Kaguron		Feelinara		Caesurio		Bandelby		Armaldo
Kapu-Riki		Galar-Laschoking		Cavalanzas		Bronzong		Barschuft
Katagami		Garados		Celebi		Chillabell		Bellektro
Katapuldra		Gengar		Cerapendra		Curelei		Bisofank
Knakrack		Grandiras		Chaneira		Donarion		Bissbark
Krarmor		Grebbit		Clavion		Drapfel		Blitza
Latios		Grypheldis		Cresselia		Duokles		Blubella
Lectragon		Heiteira		Diancie		Duraludon		Botogel
Liberlo		Hippoterus		Ditto		Echnatoll		Britzigel
Mamutel		Hutsassa		Entei		Elezard		Calamanero
Necrozma		Kapu-Kime		Fermicula		Elfun		Castellith
Pixi		Kapu-Toro		Flampivian		Frosdedje		Chimstix
Ramoth		Keldeo		Fuegro		Fruyal		Colossand
Resladero		Kopplosio		Galar-Lahmus		Galagladi		Corasonn
Snibunna		Kyurem		Galar-Lavados		Galar-Arktos		Coronospa
Stalobor		Lahmus		Galar-Smogmog		Gastrodon		Cottomi
Tentantel		Laschoking		Guardevoir		Gelatwino		Dedenne
Terrakium		Latias		Iksbat		Geradaks		Deponitox
Trikephalo		Lavados		Intelleon		Glaziola		Digdri
Victini		Masskito		Kobalium		Glurak		Draschel
Wulaosu-Rapid-Strike		Maxax		Kosturso		Golgantes		Dressella
Zeraora		Meistagrif		Krebutack		Gorgasonn		Drifzepeli
		Muramura		Lauchzelot		Hydragil		Duflor
		Nidoking		Libelldra		Infernopod		Dummisel
		Nidoqueen		Lohgock		Irokex		Duodino
		Panzaeron		Lucario		Kamalm		Elevoltek
		Pelipper		Machomei		Kapoera		Emolga
		Polaross		Magnezone		Karadonis		Entoron
		Porygon2		Metagross		Keifel		Fasasnob
		Primarene		Milotic		Kicklee		Fiaro
		Qurtel		Mimigma		Krawumms		Firnontor
		Raikou		Monargoras		Lanturn		Flamara
		Regieleki		Mortipot		Lecryodon		Fletiamo
		Relaxo		Nachtara		Magbrant		Flunkifer
		Rotom-Heat		Olangaar		Magneton		Flunschlik
		Rotom-Wash		Pandagro		Mantax		Folipurba
		Scherox		Porygon-Z		Maritellit		Frigometri
		Seedraking		Quaxo		Miltank		Furnifraß
		Simsala		Rabigator		Morlord		Galar-Corasonn
		Skelabra		Registeel		Moruda		Galar-Flunschlik
		Starmie		Riffex		Mottineva		Galar-Gallopa
		Suicune		Riffex		Pampross		Galar-Geradaks
		Sumpex		Rihornior		Parfinesse		Galar-Pantimos
		Tangoloss		Roserade		Patinaraja		Gallopa
		Tobutz		Rotom-Mow		Piepi		Gaunux
		Togekiss		Servol (männlich)		Piondragi		Gewaldro
		Volcanion		Silembrim		Pokusan		Giflor
		Voltolos		Skaraborn		Psiana		Golbat
		Voltolos (Tiergeistform)		Symvolara		Pumpdjinn		Golking
		Wolwerock-Z		Tandrak		Quartermak		Gufa
		Zarude		Tectass		Regidrago		Hippopotas
		Zytomega		Tentoxa		Regirock		Honweisel
		Alola-Vulnona		Turtok		Rotom		Humanolith
				Typ:Null		Sabbaione		Jiutesto
				UHaFnir		Sanaconda		Kabutops
				Viscogon		Schlapfel		Kadabra
				Voltriant		Schlingking		Kangama
				Vulnona		Selfe		Kaocto
				Washakwil		Sen-Long		Kappalores
				Wie-Shu		Servol (weiblich)		Karippas
				Zoroark		Shardrago		Kastadur
				Zygarde-10%		Sichlor		Kickerlo
						Silvarro		Kingler
						Smogmog		Kinoso
						Sniebel		Kleoparda
						Stahlos		Klikdiklak
						Tauros		Knogga
						Thanathora		Knuddeluff
						Tohaido		Kokowei
						Toxiquak		Kommandutan
						Vesprit		Kryppuk
						Viridium		Kubuin
						Voltula		Lamellux
						Wolwerock-Tag/Nacht		Lapras
								Legios
								Lepumentas
								Lunastein
								Lusardin
								Luxtra
								Mampfaxo
								Mantidea
								Maracamba
								Maschock
								Mauzinger
								Megalon
								Miezunder
								Mitodos
								Mogelbaum
								Montecarbo
								Morbitesse
								Morpeko
								Ninjask
								Ninjatom
								Nockchan
								Noctuh
								Octillery
								Oghnatoll
								Ohrdoch
								Pampuli
								Pantifrost
								Pantimos
								Pescryodon
								Pinsir
								Porenta
								Pottrott
								Psiaugon (männlich)
								Psiaugon (weiblich)
								Quappo
								Raichu
								Regice
								Regigigas
								Relicanth
								Rexblisar
								Rizeros
								Rocara
								Rokkaiman
								Roselia
								Rossana
								Rotom-Frost
								Rotom-Fan
								Sandamer
								Schlapor
								Schlaraffel
								Schlurplek
								Sharfax
								Siberio
								Skallyk
								Skuntank
								Smettbo
								Snobilikat
								Somnivora
								Sonnfel
								Stolloss
								Strepoli
								Tangela
								Tengulist
								Togedemaru
								Togetic
								Tortunator
								Trombork
								Urgl
								Viscargot
								Voltenso
								Wailord
								Walraisa
								Welsar
								Wielie
								Woingenau
								Wummer
								Xatu
								Zobiris
								Zwirrfinst
								Zwirrklop
								Zwollock
