Azumarill		Aggrostella		Alola-Knogga		Aerodactyl		Aalabyss
Boreos (Tiergeistform)		Alola-Vulnona		Alola-Sleimok		Alola-Raichu		Absol
Demeteros (Tiergeistform)		Anego		Amfira		Alola-Snobilikat		Admurai
Despotar		Boreos (Inkarnationsform)		Aranestro		Ambidiffel		Aeropteryx
Heatran		Brutalanda		Arkani		Apoquallyp		Alola-Digdri
Jirachi		Caesurio		Austos		Aquana		Alola-Geowaz
Kaguron		Cerapendra		Bandelby		Baldorfish		Alola-Kokowei
Kapu-Riki		Chaneira		Bisaflor		Bissbark		Alola-Rattikarl
Kapu-Toro		Demeteros (Inkarnationsform)		Blitza		Brigaron		Alola-Sandamer
Katagami		Dragoran		Branawarz		Cavalanzas		Alpollo
Keldeo		Feelinara		Brockoloss		Chillabell		Altaria
Knakrack		Gengar		Bronzong		Curelei		Amagarga
Kopplosio		Grandiras		Celebi		Ditto		Amigento
Kyurem-Black		Grebbit		Clavion		Duokles		Amoroso
Latias		Hippoterus		Cresselia		Elevoltek		Ampharos
Latios		Hutsassa		Diancie		Elezard		Amphizel
Magearna		Kapilz		Donphan		Elfun		Arbok
Manaphy		Kapu-Kime		Echnatoll		Farbeagle		Arboretoss
Mega-Altaria		Kobalium		Entei		Fennexis		Ariados
Mega-Bisaflor		Lahmus		Fermicula		Fiaro		Arktilas
Mega-Diancie		Laschoking		Flambirex		Forstellka		Arktos
Mega-Galagladi		Mamutel		Flampivian		Frosdedje		Armaldo
Mega-Garados		Masskito		Florges		Galagladi		Banette
Mega-Glurak X		Mega-Absol		Fruyal		Gastrodon		Barschuft
Mega-Glurak Y		Mega-Aerodactyl		Garados		Geradaks		Bibor
Mega-Guardevoir		Mega-Bibor		Grypheldis		Golbat		Bidifas
Mega-Knakrack		Mega-Despotar		Guardevoir		Granbull		Bisaknosp
Mega-Lahmus		Mega-Skaraborn		Hariyama		Hydragil		Bisofank
Mega-Latias		Mega-Sumpex		Heiteira		Irokex		Blubella
Mega-Latios		Mega-Tauboss		Hoopa		Kapoera		Bojelin
Mega-Meditalis		Mega-Tohaido		Iksbat		Karadonis		Bollterus
Mega-Pinsir		Mega-Turtok		Impergator		Keifel		Botogel
Mega-Scherox		Mega-Voltenso		Impoleon		Knirfish		Burmadame
Mega-Schlapor		Meistagrif		Kicklee		Kryppuk		Calamanero
Mega-Simsala		Necrozma		Kosturso		Lavados		Camerupt
Mega-Zobiris		Nidoking		Kramshef		Lohgock (ohne Speed Boost)	   	Castellith
Mimigma		Nidoqueen		Krawumms		Machomei		Chelterrar
Pixi		Panferno		Krebutack		Magneton		Chevrumm
Snibunna		Panzaeron		Kyurem		Mega-Banette		Choreogel
Stalobor		Pelipper		Libelldra		Mega-Camerupt		Coiffwaff
Victini		Porygon2		Lucario		Mega-Firnontor		Colossand
Voltolos (Inkarnationsform)		Raikou		Magnezone		Mega-Ohrdoch		Corasonn
Zapdos		Ramoth		Mamolida		Mega-Rexblisar		Damhirplex
Zygarde-50%		Relaxo		Mantax		Meteno		Dartignis
		Resladero		Maxax		Miltank		Dedenne
		Rotom-Wash		Meditalis		Monargoras		Deponitox
		Scherox		Mega-Ampharos		Morlord		Digdri
		Serpiroyal		Mega-Gewaldro		Moruda		Dodri
		Simsala		Mega-Hundemon		Pandagro		Donarion
		Skorgro		Mega-Stahlos		Parfinesse		Dragonir
		Staraptor		Mega-Stolloss		Piondragi		Dressella
		Starmie		Meloetta		Pottrott		Drifzepeli
		Suicune		Metagross		Psiana		Duflor
		Tangoloss		Milotic		Pumpdjinn		Dummisel
		Tentantel		Muramura		Regirock		Duodino
		Terrakium		Nachtara		Rihornior		Efoserp
		Tobutz		Omot		Sabbaione		Elektek
		Togekiss		Porygon-Z		Schlingking		Emolga
		Trikephalo		Primarene		Selfe		Enekoro
		Volcanion		Quajutsu ohne VF		Shardrago		Entoron
		Voltolos (Tiergeistform)		Quaxo		Silvarro		Fasasnob
		Voltriant		Qurtel		Skuntank		Firnontor
		Zytomega		Rabigator		Smogmog		Flamara
				Registeel		Sniebel		Flegmon
				Roserade		Stahlos		Fletiamo
				Rotom-Heat		Symvolara		Floette
				Rotom-Mow		Tangela		Flunkifer
				Schwalboss		Tauros		Flunschlik
				Seedraking		Tectass		Folipurba
				Shaymin		Traunmagil		Formeo
				Skaraborn		Turtok		Frigometri
				Skelabra		Typ:Null		Fuegro
				Skorgla		UHaFnir		Furnifraß
				Sumpex		Viridium		Gallopa
				Tandrak		Wolwerock-Zwielicht		Gelatwino
				Tentoxa		Wummer		Geowaz
				Tohaido		Xatu		Gewaldro
				Toxiquak		Zapplarang		Giflor
				Vesprit				Girafarig
				Viscogon				Gladiantri
				Voltula				Glaziola
				Vulnona				Glurak
				Washakwil				Golgantes
				Wie-Shu				Golking
				Yanmega				Grillchita
				Zoroark				Groink
				Zygarde-10%				Gufa
								Hippopotas
								Honweisel
								Hundemon
								Hypno
								Ibitak
								Igastarnish
								Illumise
								Jiutesto
								Jugong
								Jungglut
								Kabutops
								Kadabra
								Kangama
								Kappalores
								Karippas
								Kastadur
								Kecleon
								Kingler
								Kinoso
								Kleoparda
								Klikdiklak
								Kliklak
								Knarksel
								Knogga
								Knuddeluff
								Koalelu
								Kokowei
								Kommandutan
								Kramurx
								Krawell
								Kronjuwild
								Kukmarda
								Lamellux
								Lanturn
								Lapras
								Ledian
								Lektrobal
								Lepumentas
								Letarking
								Lumineon
								Lunastein
								Lusardin
								Luxtra
								Magbrant
								Magcargo
								Magmar
								Magnayen
								Mampfaxo
								Manguspektor
								Mantidea
								Maracamba
								Marill
								Maschock
								Maskeregen
								Matrifol
								Megalon
								Meganie
								Metang
								Minun 
								Mitodos
								Mogelbaum
								Morbitesse
								Moterpel
								Muntier
								Ninjask
								Ninjatom
								Nockchan
								Noctuh
								Noktuska
								Octillery
								Ohrdoch
								Pachirisu
								Palimpalim
								Pampross
								Pandir
								Panpyro
								Pantimos
								Papinella
								Papungha
								Parasek
								Phione
								Piepi
								Pikachu
								Pinsir
								Plaudagei
								Pliprin
								Plusle
								Porygon
								Psiaugon
								Pudox
								Pyroleo
								Quappo
								Quaputzi
								Quartermak
								Raichu
								Rameidon
								Rasaff
								Rattikarl
								Regice
								Regigigas
								Relicanth
								Rexblisar
								Rizeros
								Rocara
								Rokkaiman
								Rollum
								Roselia
								Rossana
								Rotom
								Rotom-Fan
								Rotom-Frost
								Saganabyss
								Sandamer
								Sarzenia
								Schillok
								Schlapor
								Schlukwech
								Schlurplek
								Seemon
								Sen-Long
								Sengo
								Shnurgarst
								Siberio
								Sichlor
								Skallyk
								Sleimok
								Smettbo
								Snobilikat
								Sodachita
								Somnivora
								Sonnfel
								Sonnflora
								Stolloss
								Strepoli
								Swaroness
								Tauboss
								Tengulist
								Thanathora
								Togedemaru
								Togetic
								Tornupto
								Tortunator
								Toxiped
								Traunfugil
								Trombork
								Tropius
								Tukanon
								Tyracroc
								Ursaring
								Vegichita
								Venuflibis
								Vibrava
								Vipitis
								Viscargot
								Vivillon
								Volbeat
								Voltenso
								Voluminas
								Wailord
								Walraisa
								Welsar
								Wielie
								Wiesenior
								Wolwerock-Tag/Nacht
								Yanma
								Zebritz
								Zirpeise
								Zobiris
								Zwirrfinst
								Zwirrklop
