Aggrostella		Alola-Sleimok		Alola-Knogga		Aerodactyl		Aalabyss
Azumarill		Alola-Vulnona		Amfira		Alola-Raichu		Absol
Boreos (Tiergeistform)		Anego		Aranestro		Ambidiffel		Admurai
Demeteros (Tiergeistform)		Boreos (Inkarnationsform)		Arkani		Amoroso		Aeropteryx
Despotar		Brutalanda		Austos		Apoquallyp		Alola-Digdri
Heatran		Caesurio		Bandelby		Aquana		Alola-Geowaz
Hippoterus		Cerapendra		Bisaflor		Baldorfish		Alola-Kokowei
Jirachi		Chaneira		Blitza		Bissbark		Alola-Rattikarl
Kaguron		Demeteros (Inkarnationsform)		Branawarz		Brigaron		Alola-Sandamer
Kapu-Kime		Dragoran		Brockoloss		Cavalanzas		Alola-Snobilikat
Kapu-Riki		Feelinara		Bronzong		Chillabell		Alpollo
Kapu-Toro		Gengar		Celebi		Curelei		Altaria
Katagami		Grandiras		Clavion		Ditto		Amagarga
Keldeo		Grebbit		Cresselia		Donphan		Amigento
Knakrack		Hutsassa		Diancie		Duokles		Ampharos
Kopplosio		Kobalium		Echnatoll		Elevoltek		Amphizel
Kyurem-Black		Lahmus		Entei		Elezard		Arbok
Latias		Laschoking		Flambirex		Elfun		Ariados
Latios		Mega-Absol		Flampivian		Fennexis		Arktilas
Mamutel		Mega-Bibor		Florges		Fermicula		Arktos
Manaphy		Mega-Despotar		Fuegro		Forstellka		Armaldo
Masskito		Mega-Skaraborn		Garados		Frosdedje		Banette
Mega-Aerodactyl		Mega-Sumpex		Grypheldis		Fruyal		Barschuft
Mega-Altaria		Mega-Tauboss		Guardevoir		Galagladi		Bauz
Mega-Bisaflor		Mega-Tohaido		Hariyama		Gastrodon		Bibor
Mega-Diancie		Mega-Voltenso		Heiteira		Geradaks		Bidifas
Mega-Galagladi		Meistagrif		Hoopa		Gewaldro		Bisaknosp
Mega-Garados		Mimigma		Iksbat		Golbat		Bisofank
Mega-Glurak X		Nidoking		Impergator		Granbull		Blubella
Mega-Glurak Y		Nidoqueen		Impoleon		Gufa		Bojelin
Mega-Guardevoir		Panferno		Kapilz		Hydragil		Bollterus
Mega-Knakrack		Panzaeron		Kosturso		Irokex		Botogel
Mega-Lahmus		Pelipper		Kramshef		Kapoera		Bronzel
Mega-Latias		Porygon2		Krawumms		Karadonis		Burmadame
Mega-Latios		Raikou		Krebutack		Keifel		Calamanero
Mega-Meditalis		Ramoth		Kyurem		Kicklee		Camerupt
Mega-Pinsir		Resladero		Libelldra		Knirfish		Castellith
Mega-Scherox		Serpiroyal		Lucario		Kryppuk		Chelterrar
Mega-Schlapor		Simsala		Magnezone		Lanturn		Chevrumm
Mega-Simsala		Skorgro		Mamolida		Lavados		Choreogel
Mega-Zobiris		Staraptor		Mantax		Lohgock (ohne Speed Boost)		Coiffwaff
Necrozma		Starmie		Maxax		Machomei		Colossand
Pixi		Suicune		Meditalis		Magneton		Corasonn
Relaxo		Tentantel		Mega-Ampharos		Mega-Banette		Damhirplex
Rotom-Wash		Terrakium		Mega-Gewaldro		Mega-Camerupt		Dartignis
Snibunna		Tobutz		Mega-Hundemon		Mega-Firnontor		Dedenne
Stalobor		Togekiss		Mega-Turtok		Mega-Ohrdoch		Deponitox
Tangoloss		Trikephalo		Mega-Stahlos		Mega-Rexblisar		Digdri
Victini		Volcanion		Mega-Stolloss		Meteno		Dodri
Voltolos (Inkarnationsform)		Voltriant		Meloetta		Miltank		Donarion
Voltolos (Tiergeistform)		Zeraora		Metagross		Morlord		Dragonir
Zapdos		Zytomega		Milotic		Moruda		Dressella
Zygarde-50%				Monargoras		Pandagro		Drifzepeli
				Muramura		Parfinesse		Duflor
				Nachtara		Piondragi		Dummisel
				Omot		Pottrott		Duodino
				Porygon-Z		Psiana		Efoserp
				Primarene		Pumpdjinn		Elektek
				Quajutsu ohne VF		Quartermak		Emolga
				Quaxo		Regirock		Enekoro
				Qurtel		Rihornior		Entoron
				Rabigator		Sabbaione		Farbeagle
				Registeel		Schlingking		Fasasnob
				Roserade		Selfe		Fiaro
				Rotom-Heat		Sen-Long		Firnontor
				Rotom-Mow		Shardrago		Flamara
				Scherox		Silvarro		Flegmon
				Schwalboss		Skuntank		Fletiamo
				Seedraking		Smogmog		Floette
				Shaymin		Sniebel		Flunkifer
				Skaraborn		Stahlos		Flunschlik
				Skelabra		Symvolara		Folipurba
				Skorgla		Tangela		Formeo
				Sumpex		Tauros		Frigometri
				Tandrak		Tectass		Furnifraß
				Tentoxa		Thanathora		Gallopa
				Tohaido		Traunmagil		Gelatwino
				Toxiquak		Turtok		Geowaz
				Typ:Null		UHaFnir		Giflor
				Viscogon		Vesprit		Girafarig
