Aggrostella		Alola-Vulnona		Alola-Raichu		Alola-Digdri
Barrikadax		Amfira		Alola-Snobilikat		Alpollo
Caesurio		Apoquallyp		Amigento (ohne Disc)		Barschuft
Despotar		Aquana		Amigento (eine Disc)		Blitza
Ditto		Aranestro		Arktilas		Blubella
Feelinara		Arkani		Bandelby		Botogel
Galar-Flampivian (mit VF)		Austos		Baldorfish		Bronzel
Garados		Barrakiefa		Bellektro		Castellith
Gengar		Bisaflor		Britzigel		Corasonn
Giga-Drapfel		Branawarz		Bronzong		Cottomi
Giga-Duraludon		Brockoloss		Calamanero		Deponitox
Giga-Infernopod		Cavalanzas		Chillabell		Digdri
Giga-Kamalm		Celebi		Donarion		Drifzepeli
Giga-Kingler		Duraludon		Drapfel		Fasasnob
Giga-Lapras		Elezard		Duokles		Firnontor
Giga-Patinaraja		Elfun		Echnatoll		Flamara
Giga-Pokusan		Fermicula		Fletiamo		Flunkifer
Giga-Relaxo		Flampivian		Frosdedje		Flunschlik
Giga-Sanaconda		Fuegro		Fruyal		Folipurba
Grandiras		Galar-Corasonn		Galagladi		Furnifraß
Grypheldis		Galar-Smogmog		Galar-Gallopa		Galar-Flunschlik
Hippoterus		Gastrodon		Gelatwino		Galar-Geradaks
Katapuldra		Giga-Deponitox		Geradaks		Galar-Pantimos
Keldeo		Giga-Machomei		Giflor		Gallopa
Krarmor		Giga-Maritellit		Gorgasonn		Gaunux
Kyurem		Giga-Montecarbo		Gortrom		Giga-Evoli
Liberlo		Giga-Schlapfel		Guardevoir		Giga-Mauzi
Mamutel		Giga-Smettbo		Hippopotas		Giga-Pikachu
Maxax		Glurak		Hydragil		Glaziola
Meistagrif		Grebbit		Irokex		Golgantes
Mimigma		Infernopod		Kamalm		Golking
Necrozma		Intelleon		Kapoera		Gufa
Olangaar		Kobalium		Kappalores		Honweisel
Pelipper		Kosturso		Karadonis		Humanolith
Pixi		Krebutack		Keifel		Jiutesto
Primarene		Lauchzelot		Kicklee		Kaocto
Qurtel		Lectragon		Lanturn		Kastadur
Relaxo		Libelldra		Lecryodon		Kingler
Resladero		Lucario		Legios		Kinoso
Riffex		Machomei		Maritellit		Kleoparda
Rotom-Heat		Mantax		Montecarbo		Klikdiklak
Rotom-Wash		Milotic		Morlord		Kommandutan
Silembrim		Mortipot		Morpeko		Kubuin
Snibunna		Nachtara		Moruda		Lamellux
Stalobor		Pandagro		Mottineva		Lapras
Tentantel		Patinaraja		Nockchan		Lepumentas
Terrakium		Pokusan		Pampross		Lunastein
Togekiss		Rihornior		Pantifrost		Lusardin
Trikephalo		Roserade		Parfinesse		Mampfaxo
Zeraora		Rotom-Mow		Piondragi		Maracamba
Zytomega		Servol (männlich)		Pottrott		Mauzinger
		Servol (weiblich)		Psiana		Megalon
		Skelabra		Pumpdjinn		Mitodos
		Symvolara		Quartermak		Mogelbaum
		Tectass		Raichu		Morbitesse
		Toxiquak		Rexblisar		Ninjask
		Turtok		Rotom		Ninjatom
		UHaFnir		Rotom-Frost		Noctuh
		Viscogon		Rotom-Fan		Octillery
		Vulnona		Sabbaione		Oghnatoll
				Sanaconda		Pampuli
				Schlapfel		Pantimos
				Sen-Long		Pescryodon
				Silvarro		Piepi
				Skuntank		Psiaugon (männlich)
				Smogmog		Psiaugon (weiblich)
				Sniebel		Rizeros
				Stahlos		Schlaraffel
				Thanathora		Sharfax
				Typ:Null		Siberio
				Viridium		Smettbo
				Voltula		Snobilikat
				Washakwil		Somnivora
				Xatu		Sonnfel
				Zwollock		Tengulist
						Togedemaru
						Togetic
						Tortunator
						Trombork
						Urgl
						Viscargot
						Voltenso
						Wailord
						Welsar
						Woingenau
						Zobiris
						Zwirrfinst
						Zwirrklop
