Aerodactyl		Aquana		Absol		Aalabyss
Austos		Arkani		Altaria		Alpollo
Celebi		Arktos		Amoroso		Arbok
Dragoran		Armaldo		Ampharos		Ariados
Forstellka		Baldorfish		Azumarill		Bibor
Garados		Blitza		Banette		Botogel
Gengar		Bisaflor		Blubella		Corasonn
Heiteira		Camerupt		Damhirplex		Draschel
Jirachi		Chaneira		Dodri		Dummisel
Kapilz		Digdri		Elektek		Enekoro
Lavados		Donphan		Entoron		Farbeagle
Lepumentas		Entei		Firnontor		Flunkifer
Libelldra		Geowaz		Flamara		Formeo
Lohgock		Geradaks		Giflor		Gallopa
Milotic		Gewaldro		Girafarig		Golking
Panzaeron		Glurak		Granbull		Icognito
Raikou		Guardevoir		Groink		Illumise
Registeel		Hariyama		Ibitak		Jugong
Relaxo		Hundemon		Impergator		Kecleon
Scherox		Hypno		Kadabra		Kingler
Simsala		Iksbat		Keifel		Knuddeluff
Skaraborn		Kabutops		Kramurx		Ledian
Starmie		Kangama		Krawumms		Liebiskus
Suicune		Kapoera		Krebutack		Magnayen
Sumpex		Kappalores		Lapras		Maskeregen
Zapdos		Kicklee		Lektrobal		Meganie
		Knogga		Letarking		Metang
		Kokowei		Lunastein		Minun
		Lahmus		Magmar		Mogelbaum
		Lanturn		Magneton		Muntier
		Laschoking		Mantax		Ninjask
		Machomei		Morlord		Ninjatom
		Meditalis		Noktuska		Nockchan
		Miltank		Octillery		Noctuh
		Nachtara		Palimpalim		Omot
		Nidoking		Pantimos		Pandir
		Nidoqueen		Papungha		Papinella
		Pinsir		Quappo		Parasek
		Pixi		Quaxo		Pelipper
		Porygon2		Raichu		Pikachu
		Psiana		Rasaff		Plusle
		Regice		Roselia		Porenta
		Regirock		Saganabyss		Pottrott
		Rizeros		Sandamer		Pudox
		Rossana		Sarzenia		Qurtel
		Seedraking		Schwalboss		Rattikarl
		Sichlor		Sengo		Relicanth
		Smogmog		Skorgla		Schillok
		Stahlos		Sleimok		Schlukwech
		Stolloss		Snobilikat		Schlurp
		Tentoxa		Sonnfel		Smettbo
		Tornupto		Tangela		Sniebel
		Turtok		Tauros		Sonnflora
		Zwirrklop		Tengulist		Sterndu
				Tohaido		Stollrak
				Ursaring		Tauboss
				Voltenso		Togetic
				Vulnona		Traunfugil
				Wailord		Tropius
				Walraisa		Tuska
				Wielie		Vipitis
				Xatu		Welsar
						Wiesenior
						Yanma
						Zobiris
