Apoquallyp		Aquana		Aerodactyl		Aalabyss
Austos		Arkani		Ambidiffel		Absol
Boreos-I		Azumarill		Amoroso		Admurai
Brutalanda		Blitza		Baldorfish		Aeropteryx
Celebi		Bronzong		Bisaflor		Alpollo
Chaneira		Caesurio		Bisofank		Altaria
Demeteros-T		Cresselia		Branawarz		Ampharos
Despotar		Donphan		Cavalanzas		Arbok
Dragoran		Echnatoll		Cerapendra		Ariados
Garados		Flampivian		Chillabell		Arktos
Gengar		Forstellka		Ditto		Armaldo
Heatran		Frosdedje		Dressella		Banette
Heiteira		Gastrodon		Elevoltek		Barschuft
Hippoterus		Grypheldis		Elfun		Bibor
Jirachi		Hutsassa		Entei		Bidifas
Kapilz		Iksbat		Farbeagle		Bisaknosp
Knakrack		Impoleon		Fermicula		Bissbark
Kyurem		Irokex		Flambirex		Blanas
Lahmus		Kapoera		Frigometri		Blubella
Laschoking		Kicklee		Galagladi		Bojelin
Magnezone		Kobalium		Gewaldro		Bollterus
Mamutel		Libelldra		Golgantes		Botogel
Maxax		Lohgock		Hariyama		Brockoloss
Meistagrif		Lucario		Hundemon		Bronzel
Metagross		Machomei		Hydragil		Burmadame
Panferno		Magneton		Impergator		Burmadame-Trash
Panzaeron		Meloetta		Kabutops		Burmadame-Sandy
Quaxo		Milotic		Kappalores		Camerupt
Raikou		Nachtara		Karadonis		Castellith
Ramoth		Nidoking		Kramshef		Chelcarain
Rotom-Wash		Nidoqueen		Krebutack		Chelterrar
Scherox		Omot		Kryppuk		Corasonn
Simsala		Pixi		Lanturn		Damhirplex
Skorgro		Porygon-Z		Lavados		Deponitox
Stalobor		Porygon2		Lepumentas		Digdri
Staraptor		Psiana		Magbrant		Dodri
Starmie		Rabigator		Mamolida		Dragonir
Tentantel		Registeel		Meditalis		Draschel
Tentoxa		Relaxo		Miltank		Drifzepeli
Terrakium		Rexblisar		Morlord		Duflor
Trikephalo		Rihornior		Nockchan		Dummisel
Victini		Roserade		Piondragi		Duodino
Voltolos-T		Rotom-Heat		Quappo		Efoserp
Vulnona		Seedraking		Rizeros		Elektek
Zapdos		Shaymin		Rotom		Emolga
Zytomega		Skaraborn		Rotom-Mow		Enekoro
		Skelabra		Sandamer		Entoron
		Skorgla		Sarzenia		Fasasnob
		Snibunna		Selfe		Ferkokel
		Suicune		Shardrago		Firnontor
		Sumpex		Stahlos		Flamara
		Tangoloss		Symvolara		Fletiamo
		Tobutz		Tangela		Flunkifer
		Togekiss		Toxiquak		Flunschlik
		Tohaido		Vesprit		Folikon
		Traunmagil		Voltenso		Folipurba
		Turtok		Voltula		Formeo
		Viridium		Washakwil		Furnifraß
		Wie-Shu		Zapplarang		Gallopa
		Xatu		Zwirrfinst		Gelatroppo
		Yanmega		Zwirrklop		Gelatwino
		Zobiris				Georok
		Zoroark				Geowaz
						Geradaks
						Giflor
						Girafarig
						Glaziola
						Glurak
						Glutexo
						Golbat
						Golking
						Granbull
						Grillchita
						Groink
						Guardevoir
						Hippopotas
						Honweisel
						Hubelupf
						Hypno
						Hypnomorba
						Ibitak
						Icognito
						Igelavar
						Illumise
						Jiutesto
						Jugong
						Jungglut
						Kadabra
						Kangama
						Karippas
						Kecleon
						Keifel
						Kingler
						Kinoso
						Kirlia
						Kleoparda
						Klikdiklak
						Kliklak
						Knarksel
						Knogga
						Knuddeluff
						Kokowei
						Kokuna
						Krakeelo
						Krawumms
						Kronjuwild
						Kukmarda
						Lapras
						Laternecto
						Ledian
						Lektrobal
						Letarking
						Lombrero
						Lorblatt
						Lumineon
						Lunastein
						Luxio
						Luxtra
						Magcargo
						Magmar
						Magnayen
						Mampfaxo
						Mantax
						Maracamba
						Maschock
						Maskeregen
						Matrifol
						Mebrana
						Megalon
						Meganie
						Metang
						Minun
						Mitodos
						Mogelbaum
						Moorabbel
						Morbitesse
						Moterpel
						Muntier
						Navitaub
						Nidorina
						Nidorino
						Ninjask
						Ninjatom
						Noctuh
						Noktuska
						Octillery
						Ohrdoch
						Pachirisu
						Pandir
						Panekon
						Panpyro
						Pantimos
						Papinella
						Papungha
						Parasek
						Pelipper
						Phione
						Piepi
						Pikachu
						Pinsir
						Plaudagei
						Pliprin
						Plusle
						Porenta
						Pottrott
						Pudox
						Pupitar
						Quaputzi
						Qurtel
						Raichu
						Rameidon
						Rasaff
						Rattikarl
						Regice
						Regigigas
						Regirock
						Relicanth
						Reptain
						Rokkaiman
						Rollum
						Roselia
						Rossana
						Rotom-Fan
						Rotom-Frost
						Safcon
						Saganabyss
						Schaloko
						Schillok
						Schlapor
						Schlukwech
						Schlurplek
						Schwalboss
						Sedimantur
						Seejong
						Seemon
						Sengo
						Serpiroyal
						Sharfax
						Shnurgarst
						Siberio
						Sichlor
						Skuntank
						Sleimok
						Smettbo
						Smogmog
						Sniebel
						Snobilikat
						Sodachita
						Somnivora
						Sonnfel
						Sonnflora
						Staravia
						Stolloss
						Stollrak
						Strepoli
						Swaroness
						Tauboga
						Tauboss
						Tauros
						Tengulist
						Tentacha
						Terribark
						Togetic
						Tornupto
						Traunfugil
						Tropius
						Tyracroc
						Ultrigaria
						Ursaring
						Vegichita
						Venuflibis
						Vibrava
						Vipitis
						Volbeat
						Voluminas
						Wailord
						Walraisa
						Welsar
						Wielie
						Wiesenior
						Woingenau
						Zapplalek
						Zebritz
						Zirpeise
						Zwottronin
